Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Cutting gas to EU countries is painful in the short term but good in the long term.
It will force the EU to diversify its gas supply and to stop getting gas and oil from Russia, regardless of who Russias leader is.",Ugy__pZMoX-ryRrMHBR4AaABAg,12,70
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"This is all about increasing demand for the rouble by forcing countries to buy it.  The currency has lost a lot of value and is being artificially propped up with things like high interest rates and cash injections and can't be maintained forever.  It might help in the short term, but Russia's biggest problem will be losing 40% of their GDP as Europe moves to other sources for gas.",Ugz_fXRSR7537r8_b-F4AaABAg,0,2
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,Poland is fully diversified by other sources and was planning to cut off from Russian gas in September anyway. So Russia basically sanctioned itself as it will simply not get the rest of the money from the contract which was supposed to work until September....,UgyOp30CVXp9vs-Xk294AaABAg,40,70
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Not gonna lie BBC, the dub voice you chose for Zelensky made him sound like a James Bond villain",UgxxuEJWCNGlkI3DA5J4AaABAg,8,87
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"If you are selling something, you are fully entitled to ask to be paid in what you want. No one is forcing them to buy Russian gas.",UgwxbRxCcpoC-kyNitd4AaABAg,5,7
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Both country already given notice that they wont renew the contract and they refused to pay in ruble......Poland is still getting Russian gas through Germany. This was in March 
WARSAW (Reuters) - Poland's dominant gas firm, state-run PGNiG, said on Friday it had notified Russia's Gazprom that it will not renew their long-term deal on gas supplies when the agreement expires after 2022.",Ugy0PInAXyQRpmblub94AaABAg,11,65
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Let’s think this through, the US tells the EU/NATO that economic sanctions must be strictly followed against Russia or else. Russia says to the U.S. and it’s subordinates you have frozen our foreign reserves. Consequently, if you pay for our oil and gas shipments to you in dollars or Euros than we cannot utilize your payments. Now, pay for your purchases to us in our currency so that we can effectively use those payments. No pay no product.",UgyEZHLiLDVl4oO2egV4AaABAg,40,104
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"I heard that Europe dont want to buy russian gaz, so what is the problem ?",Ugyg7eMTT8vtZMdlZd94AaABAg,0,2
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"Many have said relying HEAVILY on Russia for energy was a mistake. Russia just proved why it was a mistake… time to move away from fossil fuels and invest in solar, wind, hydro and nuclear (yes, nuclear. Both fission and fusion.)",UgwEoANNmttSjCaXBod4AaABAg,9,33
BBC News,Russia halts gas exports to Poland and Bulgaria amid war in Ukraine – BBC News,Russian energy giant Gazprom says it has halted gas exports to Poland and Bulgaria over the countries' refusal to pay for ...,ZELV_th4dG0,"No matter what your wife says, it's not healthy to hold the gas in. You will keep Putin and she will get over it.",Ugza_TfvlxxL3_Y4V6J4AaABAg,5,41
